State,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
NM,398.8954248366013,408.57987012987013,379.2825503355705,329.44102564102565,325.48164556962024,278.49533333333335,462.9604166666667,411.560625,429.13613861386136,382.5155172413793,379.72719298245613,331.01913875598086,403.2592274678112,266.7937198067633,225.9195238095238,346.3137404580153,328.7845864661654,481.49227272727273,323.92310924369747
NY,1024.0721854304636,974.7891719745223,1137.2171232876713,842.0243055555555,1091.5304964539007,1202.227205882353,1143.845394736842,1169.0065693430656,1211.1619047619047,1103.4625,1172.1616541353383,1068.36625,1108.229120879121,1424.1865853658537,992.2869346733669,1114.0707692307692,1096.6497382198952,1019.0751219512196,953.3381188118811
NC,1364.2518248175184,1293.5248226950355,1097.3773722627736,969.5524822695036,1214.312,1615.44,1265.7536764705883,1255.8992424242424,1315.1190476190477,905.4727891156463,1169.8005025125628,1400.2537190082644,1199.9530120481927,1200.5843621399176,1184.2466666666667,1511.7720149253732,1310.5947368421052,1510.5138983050847,1264.958359621451
ND,558.1189189189189,514.4452830188679,542.6119565217391,424.2388888888889,393.79605263157896,416.5346153846154,475.6525,533.3545454545455,356.99111111111114,453.2456790123457,484.6775,498.02637362637364,604.1147727272727,542.8265306122449,385.50892857142856,641.0746031746032,481.61971830985914,466.7858974358974,563.9367088607595
OH,1027.21484375,836.004761904762,1033.8325925925926,946.6826086956522,988.8309523809523,1170.7697478991597,1126.4793103448276,1027.608547008547,1112.3565217391304,1051.8712962962964,1117.9147826086958,927.8172413793103,931.1694805194805,1418.1712328767123,937.8907142857142,1066.9780487804878,994.7766081871345,1095.0900584795322,941.9376288659794
OK,944.2597701149425,954.1533333333333,945.7252941176471,781.6376543209876,905.6102040816327,686.5045751633987,1022.4703030303031,705.2421383647799,714.0863945578232,1149.515894039735,914.8030303030303,961.3194805194805,800.8135,586.9369942196532,629.3773480662984,942.9789156626506,703.8588571428571,1371.9004784688996,797.9152466367713
OR,1410.9532110091743,1143.0660869565218,918.1867256637169,922.0063636363636,873.2550458715597,1087.365,980.3339285714286,1083.2652777777778,1225.7572864321608,999.1083720930233,1095.0879518072288,975.6365131578947,1335.6575471698113,1160.180072463768,1546.6782006920416,825.4541806020067,1327.9758513931888,1160.6910256410256,1316.798432601881
PA,1013.996644295302,1051.6649681528663,1055.1292857142857,866.6551948051948,1087.1434210526315,1355.156081081081,1365.1058441558441,1091.1817073170732,1206.7502857142856,1140.4096256684493,1169.1850746268656,1104.5560975609756,1100.454066985646,1560.2677595628415,1102.780319148936,1091.483574879227,1096.2579710144928,1108.1395238095238,984.7289592760181
RI,1479.48,1163.2285714285715,1267.5142857142857,1092.125,1214.4125000000001,1324.8777777777777,1229.6714285714286,1478.1444444444444,1446.6555555555556,1128.3555555555556,1400.8666666666666,1402.31875,1401.6875,1476.0470588235294,1076.675,1151.39375,1219.41875,1072.2666666666667,1056.5625
SC,1391.064,1087.2933333333333,1034.5620253164557,893.0987012987013,1208.8647887323943,1421.4969230769232,1163.3815384615384,1239.5,1131.0097222222223,890.4222222222222,1160.4329411764706,1354.356,1083.2985294117648,1023.4248120300751,1136.9105633802817,1528.0343373493977,1255.1451612903227,1627.34625,1144.8443181818182
SD,660.6656934306569,559.5553333333334,499.8933333333333,536.5221374045801,393.23228346456693,455.13493150684934,543.7058823529412,546.6935714285714,431.00878378378377,614.7248322147651,638.2986928104575,612.9323863636364,657.9489247311828,581.1612676056338,387.42215568862275,647.4628865979381,538.7505154639175,607.3554973821989,557.492039800995
