State,Year,dni,precipitation,snowfall,temperature,windspeed,potential_hydro_cap,potential_hydro_gen,total_state_area,total_coal_consumption,total_natural_gas_consumption,prime_supplier_residual_oil
KS,2003,5.5744062635417535,686.9747252747253,386.42857142857144,12.72962962962963,43.5,2479,14931,82278.0,22579986.0,281346.0,131.1
KS,2004,5.488496531741999,833.4240458015267,311.40234375,12.759622641509434,44.19047619047619,2479,14931,82278.0,22138569.0,256779.0,47.7
KS,2005,5.575128492968807,811.0275471698113,347.50199203187253,13.168725490196078,43.13636363636363,2479,14931,82278.0,22046001.0,255123.0,122.7
KS,2006,5.717107656814283,664.6536082474227,264.96153846153845,13.64432,45.0,2479,14931,82278.0,20873681.0,264253.0,74.2
KS,2007,5.527552098119253,911.1233438485805,670.7615894039735,12.775405405405406,42.869565217391305,2479,14931,82278.0,22779650.0,286538.0,0.0
KS,2008,5.377579863324744,925.3604651162791,334.990625,11.825210084033614,45.9,2479,14931,82278.0,21616305.0,282904.0,0.0
KS,2009,5.160659732711354,852.9974431818182,463.17703349282294,11.869217391304348,43.36363636363637,2479,14931,82278.0,20782692.0,286973.0,0.0
KS,2010,5.587225709172524,745.7878712871287,322.93835616438355,12.812857142857142,42.63636363636363,2479,14931,82278.0,20964625.0,275184.0,0.0
KS,2011,5.773392366044595,636.7429429429429,652.5862068965517,12.824701492537313,45.3,2479,14931,82278.0,20128520.0,279724.0,0.0
KS,2012,6.1164895798031935,519.5117794486216,167.22058823529412,14.562116788321168,43.1578947368421,2479,14931,82278.0,17759419.0,262316.0,0.0
KS,2013,5.708201400361697,780.9278606965174,802.1645569620254,11.997299270072993,43.95454545454545,2479,14931,82278.0,18915276.0,283177.0,0.0
KS,2014,5.710965276996597,673.5951282051282,563.9690721649484,11.931626016260163,46.90909090909091,2479,14931,82278.0,18198644.0,284651.0,0.0
KS,2015,5.6122743198496075,854.3436408977556,236.99428571428572,13.406320000000001,43.19047619047619,2479,14931,82278.0,15851401.0,270938.0,0.0
KS,2016,5.995156263512772,851.5515662650603,175.61111111111111,13.929842519685039,43.333333333333336,2479,14931,82278.0,14586777.0,267315.0,0.0
KY,1998,4.396533884687549,1236.3412213740457,235.37593984962405,14.662954545454545,29.0,662,3242,40408.0,0.0,205129.0,4.5
KY,1999,5.1511857098855645,947.2021428571428,114.41911764705883,14.115777777777778,30.0,662,3242,40408.0,0.0,218399.0,0.0
KY,2000,4.5150061526840775,1124.336440677966,219.59615384615384,13.257441860465116,29.5,662,3242,40408.0,0.0,225168.0,0.0
KY,2001,4.818205908272265,1146.0365384615384,98.29906542056075,13.9,27.88888888888889,662,3242,40408.0,41305269.0,208974.0,0.0
KY,2002,4.366197743473114,1343.7619047619048,245.4857142857143,14.11560975609756,29.333333333333332,662,3242,40408.0,38604897.0,227920.0,0.0
KY,2003,4.134484005866815,1409.877659574468,288.79787234042556,13.036153846153846,28.333333333333332,662,3242,40408.0,38521048.0,223226.0,7.0
KY,2004,4.141883261982958,1428.9076086956522,175.7625,13.833488372093024,29.11111111111111,662,3242,40408.0,39342392.0,225470.0,0.0
KY,2005,4.350413617277779,1023.0872093023256,89.36904761904762,13.95439024390244,27.555555555555557,662,3242,40408.0,40352022.0,234080.0,0.0
KY,2006,4.37679321484301,1357.880612244898,146.49462365591398,13.975833333333334,27.22222222222222,662,3242,40408.0,41937833.0,211049.0,12.7
KY,2007,4.650691673716661,1092.0330097087378,101.56842105263158,14.567674418604652,26.333333333333332,662,3242,40408.0,41064161.0,229799.0,0.0
KY,2008,4.3293986644176785,1212.5785714285714,210.41666666666666,13.026666666666667,27.875,662,3242,40408.0,42190776.0,225295.0,0.0
KY,2009,3.980578461161618,1391.0818965517242,204.97701149425288,13.040740740740741,26.375,662,3242,40408.0,39271173.0,206833.0,0.0
KY,2010,4.724888247139961,1106.8664,535.0537634408602,13.363962264150944,25.11111111111111,662,3242,40408.0,41890627.0,232099.0,0.0
KY,2011,4.199725447550577,1663.8256637168142,321.4,13.778333333333332,27.444444444444443,662,3242,40408.0,42542656.0,223034.0,0.0
KY,2012,4.897386926430052,1119.918181818182,196.04444444444445,14.51140625,25.555555555555557,662,3242,40408.0,38978114.0,225924.0,0.0
KY,2013,4.3937107618949565,1427.3760330578511,229.46808510638297,12.7534375,26.22222222222222,662,3242,40408.0,39474651.0,229983.0,0.0
KY,2014,4.538970927544737,1221.8869565217392,472.8205128205128,12.497213114754098,29.333333333333332,662,3242,40408.0,39213757.0,255434.0,0.0
KY,2015,4.455094146494531,1516.5196261682242,617.4102564102565,13.69671875,27.444444444444443,662,3242,40408.0,34380844.0,270958.0,0.0
KY,2016,4.926265773423309,1270.7688679245282,462.35,14.405,27.333333333333332,662,3242,40408.0,32071055.0,271845.0,0.0
LA,1998,5.131673330182986,1601.702614379085,0.7784810126582279,20.44920634920635,33.25,789,4461,52378.0,0.0,1569190.0,4201.6
LA,1999,5.759455825894624,1224.5772727272727,0.0,20.03757575757576,29.076923076923077,789,4461,52378.0,0.0,1495478.0,3130.5
LA,2000,5.194731505818063,1215.532298136646,5.803571428571429,19.693181818181817,28.90909090909091,789,4461,52378.0,0.0,1536725.0,2645.7
LA,2001,5.066714027861234,1738.0830409356724,17.934131736526947,19.333432835820897,28.666666666666668,789,4461,52378.0,14854125.0,1219013.0,2590.1
LA,2002,4.687755258180899,1658.1614457831326,1.072289156626506,19.346507936507937,31.571428571428573,789,4461,52378.0,14622569.0,1341444.0,1366.7
LA,2003,4.755251532614106,1348.803896103896,0.9872611464968153,19.080147058823528,29.785714285714285,789,4461,52378.0,15462478.0,1233505.0,1306.6
LA,2004,4.756444658617934,1826.8802469135803,1.5886075949367089,19.69179104477612,29.733333333333334,789,4461,52378.0,15975403.0,1281428.0,1091.1
LA,2005,5.13741602373667,1245.69,0.3048780487804878,19.82891304347826,28.90909090909091,789,4461,52378.0,15789718.0,1254370.0,729.6
LA,2006,5.203024320568126,1411.1755102040815,0.0,19.791857142857143,28.583333333333332,789,4461,52378.0,16336716.0,1217871.0,469.9
LA,2007,4.717334058891079,1314.561403508772,0.0594059405940594,19.547636363636364,26.2,789,4461,52378.0,15452812.0,1289421.0,540.8
LA,2008,5.020621706856057,1439.0632352941177,5.900763358778626,19.132131147540985,30.75,789,4461,52378.0,16337017.0,1238661.0,586.3
LA,2009,4.804713447227583,1656.7164285714287,1.9421487603305785,19.435573770491803,29.266666666666666,789,4461,52378.0,15721650.0,1189744.0,650.9
LA,2010,5.404267717918676,1079.7496644295302,27.142857142857142,19.144788732394368,24.875,789,4461,52378.0,16217629.0,1354641.0,643.3
LA,2011,5.478575288063489,1101.5216,31.714285714285715,20.005909090909093,28.125,789,4461,52378.0,16713023.0,1420264.0,529.2
LA,2012,5.103071306391694,1618.0362962962963,0.0,20.50537313432836,25.642857142857142,789,4461,52378.0,14746404.0,1482343.0,804.4
LA,2013,4.952240372958217,1576.5471014492753,0.6956521739130435,19.1253125,28.692307692307693,789,4461,52378.0,13787461.0,1396261.0,596.5
LA,2014,4.905708831494148,1481.1531746031746,11.782608695652174,18.458360655737703,30.46153846153846,789,4461,52378.0,12632390.0,1423424.0,647.7
LA,2015,4.704753877874952,1754.4973684210527,54.6,20.092456140350876,29.714285714285715,789,4461,52378.0,10776537.0,1470354.0,586.0
LA,2016,5.1520743092324315,1814.8191304347827,0.0,20.488392857142856,27.466666666666665,789,4461,52378.0,8567135.0,1591882.0,761.1
ME,1998,4.161423223314679,1193.964705882353,1489.46875,6.842884615384615,34.333333333333336,1059,6146,35380.0,0.0,5716.0,1072.0
ME,1999,4.66967708691223,1159.9791666666667,1597.5692307692307,6.947692307692308,32.375,1059,6146,35380.0,0.0,6572.0,1103.4
ME,2000,4.177065448701083,1103.768253968254,2315.425925925926,5.3307142857142855,29.714285714285715,1059,6146,35380.0,0.0,44779.0,833.4
ME,2001,4.710889836731365,761.685294117647,2404.0163934426228,6.351,29.2,1059,6146,35380.0,180210.0,95733.0,708.4
ME,2002,4.35487538197959,1062.2260273972602,1922.0,5.901020408163265,29.0,1059,6146,35380.0,220603.0,101536.0,576.7
ME,2003,4.2198724420914,1147.9260273972602,2159.7419354838707,5.255636363636364,28.5,1059,6146,35380.0,163802.0,70832.0,468.1
ME,2004,4.35755871157512,968.9418918918919,1170.3103448275863,5.231851851851852,30.1,1059,6146,35380.0,167757.0,72565.0,447.5
ME,2005,4.281407445379793,1599.2394366197184,2679.406779661017,6.016481481481481,29.0,1059,6146,35380.0,145599.0,57835.0,660.6
ME,2006,3.839605398881941,1350.786301369863,931.5625,7.160862068965518,27.22222222222222,1059,6146,35380.0,146890.0,49605.0,404.3
ME,2007,4.461924379184483,1214.3807692307691,3084.7272727272725,5.529661016949152,28.4,1059,6146,35380.0,136499.0,63183.0,364.0
ME,2008,4.017265373068068,1465.1760563380283,3014.280701754386,5.976428571428571,27.0,1059,6146,35380.0,127082.0,70146.0,323.5
ME,2009,4.039031898125595,1323.6909090909091,2144.8571428571427,5.647272727272727,27.7,1059,6146,35380.0,33959.0,70334.0,269.5
ME,2010,4.107661957941452,1338.804705882353,1558.0298507462687,7.635087719298245,29.333333333333332,1059,6146,35380.0,54225.0,77575.0,257.6
ME,2011,4.109706025419253,1289.710752688172,2534.9285714285716,6.627462686567164,27.083333333333332,1059,6146,35380.0,38333.0,71690.0,229.4
ME,2012,4.429179872739216,1250.1218390804597,1744.2727272727273,7.374242424242424,26.0,1059,6146,35380.0,31769.0,68266.0,115.4
ME,2013,4.311760606609663,1171.7428571428572,2375.3260869565215,6.191525423728813,27.083333333333332,1059,6146,35380.0,38265.0,64091.0,164.8
ME,2014,4.221987519204187,1332.2,2349.0625,5.833709677419355,27.666666666666668,1059,6146,35380.0,52959.0,60663.0,116.2
ME,2015,4.5380519643209585,1103.4074074074074,2467.404255319149,5.875901639344263,27.916666666666668,1059,6146,35380.0,74042.0,52777.0,37.0
ME,2016,4.592681353107539,1065.96875,1835.125,6.944333333333334,27.25,1059,6146,35380.0,70490.0,53128.0,19.5
MD,1998,4.540408687306496,1063.7727272727273,184.12121212121212,14.116551724137931,33.0,189,1036,12406.0,0.0,188552.0,738.7
MD,1999,4.979343667698666,1102.52,438.6333333333333,13.24,32.0,189,1036,12406.0,0.0,196350.0,591.8
MD,2000,4.574068109081522,1072.7133333333334,616.4285714285714,12.355652173913043,34.666666666666664,189,1036,12406.0,0.0,212133.0,346.8
MD,2001,5.002055741589278,903.8193548387097,320.89285714285717,13.072916666666666,32.333333333333336,189,1036,12406.0,11158140.0,178376.0,794.8
MD,2002,4.66335603384933,1051.332258064516,394.5925925925926,13.496206896551724,34.6,189,1036,12406.0,11244749.0,196276.0,437.4
MD,2003,3.910291010835901,1544.3111111111111,1143.45,12.072000000000001,33.25,189,1036,12406.0,11779577.0,197024.0,536.2
MD,2004,4.2233313114551025,1194.2875,370.39285714285717,12.728333333333333,32.0,189,1036,12406.0,11575516.0,194725.0,324.8
MD,2005,4.4323219835913354,1118.4758620689656,462.6923076923077,12.9932,31.75,189,1036,12406.0,11709652.0,202509.0,421.4
MD,2006,4.564606793395251,1146.328947368421,214.1081081081081,13.734761904761905,32.25,189,1036,12406.0,11638354.0,182294.0,206.7
MD,2007,4.585659429927748,926.1127659574469,462.6046511627907,13.261363636363637,30.833333333333332,189,1036,12406.0,11883837.0,201053.0,211.2
MD,2008,4.362006196594431,1155.184375,154.03125,12.718333333333334,31.0,189,1036,12406.0,11065168.0,196067.0,82.0
