,State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
36,OR,4.18,4.25,4.31,4.43,4.6,4.67,4.77,4.57,4.9,3.3049999999999997,4.89,5.44,6.32,6.18,4.678,5.302,5.7860000000000005,5.5760000000000005,5.944,5.5,5.209999999999999,5.57,5.748,6.066,6.231999999999999,5.885999999999999,5.67,5.758,5.833999999999999,5.93
37,PA,7.65,8.0,8.04,7.92,7.87,7.93,7.96,7.13,7.3100000000000005,5.544999999999999,5.965999999999999,6.544000000000001,6.82,6.529999999999999,6.768000000000001,6.523999999999999,6.7700000000000005,7.048,7.489999999999999,7.606,7.910000000000001,8.132000000000001,7.894000000000001,7.859999999999999,8.25,8.261999999999999,8.172,8.139999999999999,8.078,7.816
38,RI,9.15,10.17,10.3,10.4,10.24,10.38,10.48,8.97,7.069999999999999,6.09,7.752,8.994,7.3,7.734,8.004000000000001,9.129999999999999,10.547999999999998,10.282,11.662,10.838,10.77,10.068,9.728,10.582,11.758,12.975999999999999,12.65,12.894000000000002,14.097999999999999,14.334
39,SC,5.59,5.63,5.53,5.64,5.67,5.69,5.67,5.5,5.53,5.57,5.62,5.77,5.83,6.08,6.22,6.72,6.98,7.18,7.85,8.42,8.49,8.8,9.1,9.24,9.67,9.58,9.79,9.97,9.67,10.02
40,SD,6.13,6.13,6.22,6.2,6.19,6.2,6.18,6.22,6.26,6.35,6.32,6.35,6.26,6.35,6.44,6.6,6.7,6.89,7.14,7.39,7.82,8.05,8.49,8.86,9.05,9.47,9.83,10.05,9.97,9.96
41,TN,5.31,5.21,5.21,5.22,5.23,5.21,5.24,5.31,5.62,5.63,5.58,5.59,5.72,5.84,6.14,6.31,6.97,7.07,8.18,8.69,8.61,9.28,9.27,9.13,9.4,9.3,9.23,9.45,9.58,9.69
42,TX,5.78,6.06,6.16,6.39,6.42,6.1,6.16,6.17,6.07,6.04,6.49,5.474,6.62,7.5,7.95,9.14,10.34,10.11,10.99,9.86,9.34,9.0,8.55,8.66,8.94,8.7,8.43,8.38,8.48,8.6
43,UT,5.46,5.46,5.3,5.33,5.36,5.3,5.28,5.17,5.16,4.86,4.84,5.21,5.39,5.41,5.69,5.92,5.99,6.41,6.49,6.77,6.94,7.13,7.84,8.15,8.35,8.54,8.72,8.6,8.21,8.24
44,VA,6.03,6.09,6.28,6.23,6.2,6.26,6.09,6.14,5.88,5.86,5.94,5.172,5.414,6.448,6.886,6.672,7.183999999999999,7.128,8.379999999999999,9.196000000000002,8.69,8.84,9.07,8.96,6.948,6.5040000000000004,5.656000000000001,5.755999999999999,6.3759999999999994,6.093999999999999
45,VT,8.28,8.63,8.83,9.04,9.13,9.46,9.74,9.89,9.83,10.28,10.27,10.84,10.87,10.98,11.02,10.95,11.37,12.04,12.33,12.75,13.24,13.8,14.22,14.61,14.57,14.41,14.46,14.6,15.13,15.36
46,WA,3.4,3.37,3.43,3.65,4.02,4.1,4.19,4.295,4.26,3.1425,2.624,6.054,7.772,5.944,4.178,4.594,4.922,4.986,5.204,4.43,4.715999999999999,4.653999999999999,4.488,4.648000000000001,4.632,4.508,4.488,4.4719999999999995,4.57,4.744000000000001
47,WI,5.37,5.45,5.48,5.52,5.46,5.36,5.25,5.22,5.44,5.53,5.71,6.08,6.28,6.64,6.88,7.48,8.13,8.48,9.0,9.38,9.78,10.21,10.28,10.51,10.57,10.73,10.67,10.76,10.58,10.66
48,WV,4.73,4.84,5.05,5.22,5.25,5.34,5.21,5.02,5.07,5.09,5.07,5.07,5.11,5.13,5.13,5.15,5.04,5.34,5.61,6.65,7.45,7.88,8.14,7.91,7.65,8.11,8.98,9.0,8.72,8.49
49,WY,4.21,4.25,4.27,4.25,4.26,4.32,4.31,4.33,4.31,4.3,4.34,4.46,4.68,4.76,4.98,5.16,5.27,5.29,5.67,6.08,6.2,6.58,7.19,7.55,7.76,7.97,8.19,8.28,8.09,8.1
